City,Colors Reported,Shape Reported,State,year,time_only
Redding,RED GREEN,TRIANGLE,CA,1999,20:24:00
Seattle,GREEN,FIREBALL,WA,1999,05:31:00
Chatsworth,GREEN,LIGHT,CA,1999,18:20:00
Tallahassee,RED,DIAMOND,FL,1999,23:00:00
Portland,ORANGE,SPHERE,OR,1999,18:00:00
Spring Branch,GREEN,FIREBALL,TX,1999,01:30:00
Cornwall Bridge,GREEN,DISK,CT,1999,19:00:00
Tyson's Corner,GREEN,CIRCLE,VA,1999,19:04:00
Gilbert,GREEN,CIRCLE,MN,1999,02:45:00
Eureka,RED ORANGE BLUE,TRIANGLE,CA,1999,08:32:00
Lake Wales,YELLOW,FIREBALL,FL,1999,19:00:00
Canon City,RED,FORMATION,CO,1999,17:40:00
Lanoka Harbor,RED,DIAMOND,NJ,1999,22:01:00
Parkton,RED BLUE,DISK,MD,1999,22:47:00
Provo,GREEN,SPHERE,UT,1999,19:05:00
San Francisco,RED,SPHERE,CA,1999,01:15:00
Humble,GREEN,FORMATION,TX,1999,20:00:00
Mobile,YELLOW,LIGHT,AL,1999,18:04:00
Lutz,GREEN,FLASH,FL,1999,18:00:00
Arvada,RED GREEN,FLASH,CO,1999,22:05:00
Bonner Springs,GREEN,FIREBALL,KS,1999,04:20:00
South Pasadena,RED,LIGHT,CA,1999,06:35:00
San Miguel,BLUE,FIREBALL,CA,1999,06:40:00
Redding,GREEN,OTHER,CA,1999,06:43:00
St. George,GREEN,LIGHT,UT,1999,07:42:00
Charlotte,GREEN,FIREBALL,NC,1999,21:30:00
Grenada,GREEN,FIREBALL,MS,1999,04:00:00
Prescott Valley,YELLOW,CIRCLE,AZ,1999,21:30:00
Leon,RED GREEN,OTHER,WV,1999,13:30:00
La Crescenta,GREEN,DISK,CA,1999,19:39:00
Chino,ORANGE,CIGAR,CA,1999,23:00:00
San Diego,ORANGE,FIREBALL,CA,1999,23:40:00
Cotati,GREEN,FIREBALL,CA,1999,19:30:00
Palmyra,RED GREEN,SPHERE,MO,1999,04:55:00
Lilburn,ORANGE YELLOW,LIGHT,GA,1999,18:30:00
Belfast,GREEN,SPHERE,ME,1999,21:20:00
Ravenna,GREEN,CIRCLE,OH,1999,23:00:00
Ravenna,GREEN,SPHERE,OH,1999,23:10:00
Beale AFB,GREEN,CIRCLE,CA,1999,06:45:00
Navarre Beach,RED,LIGHT,FL,1999,19:00:00
Lee Vining,RED,RECTANGLE,CA,1999,20:45:00
Jacksonville,RED,LIGHT,FL,1999,02:00:00
Story,RED GREEN,RECTANGLE,AR,1999,20:00:00
Richmond,BLUE,DISK,VA,1999,19:30:00
Elk Grove,BLUE,TEARDROP,CA,1999,07:45:00
Billings,BLUE,OTHER,MT,1999,17:50:00
Weyers Cave,BLUE,OTHER,VA,1999,18:00:00
Point Marion,RED GREEN BLUE,LIGHT,PA,1999,20:00:00
LaVerne,ORANGE,VARIOUS,CA,1999,20:10:00
Los Angeles,ORANGE,FIREBALL,CA,1999,02:27:00
Huntsville,ORANGE,LIGHT,TX,1999,19:00:00
North Carolina,RED,SPHERE,NC,1999,20:00:00
Deer Valley Airport-Phoenix,GREEN,OTHER,AZ,1999,22:40:00
Chicago,GREEN,FIREBALL,IL,1999,05:20:00
Fox Point,GREEN,FIREBALL,WI,1999,05:23:00
Johnson City,GREEN,FIREBALL,NY,1999,10:40:00
Crown Point,RED,LIGHT,IN,1999,04:00:00
East Rutherford,ORANGE,CIRCLE,NJ,1999,00:25:00
Puget Sound,ORANGE,OTHER,WA,1999,08:45:00
Binghamton,ORANGE,FORMATION,NY,1999,21:02:00
Covington,RED,SPHERE,WA,1999,23:45:00
Del Mar,RED GREEN,TRIANGLE,CA,1999,23:52:00
Miami Beach,RED ORANGE,CIRCLE,FL,1999,19:04:00
Fair Oaks,YELLOW BLUE,DISK,CA,1999,17:00:00
Colville,GREEN,FIREBALL,WA,1999,18:48:00
Chowchilla,ORANGE,FIREBALL,CA,1999,19:00:00
Greer,RED,LIGHT,AZ,1999,20:45:00
Morgantown,YELLOW,TRIANGLE,WV,1999,21:35:00
Tarzana,YELLOW,LIGHT,CA,1999,20:30:00
Tacoma,GREEN,SPHERE,WA,1999,22:15:00
Rockmart,BLUE,OTHER,GA,1999,22:48:00
Grand Rapids,GREEN,FORMATION,MI,1999,21:00:00
Fowlerville,GREEN,FIREBALL,MI,1999,03:40:00
Waipahu Peninsula,RED ORANGE BLUE,LIGHT,HI,1999,20:03:00
Lihue,GREEN,LIGHT,HI,1999,01:15:00
Shelby Township,RED GREEN,LIGHT,MI,1999,01:30:00
Wilmington Island,RED,FIREBALL,GA,1999,04:15:00
Moira,RED,LIGHT,NY,1999,19:30:00
Salt Lake City,YELLOW,CIRCLE,UT,1999,20:30:00
Baltimore,RED,FORMATION,MD,1999,19:15:00
Augusta,RED,OVAL,GA,1999,23:30:00
Chesapeake,ORANGE YELLOW,OVAL,VA,1999,19:22:00
Newport,BLUE,SPHERE,KY,1999,21:30:00
Bowie,RED YELLOW,LIGHT,MD,1999,23:30:00
Wheeling,GREEN,FIREBALL,WV,1999,02:30:00
Kent,RED,SPHERE,WA,1999,18:00:00
Henderson,GREEN,FIREBALL,CO,1999,23:32:00
Jenkins,GREEN,CHEVRON,KY,1999,02:00:00
Pomona,RED,LIGHT,CA,1999,22:20:00
Pittsburgh,RED GREEN,LIGHT,PA,1999,19:30:00
Pittsburgh,RED,CONE,PA,1999,20:23:00
Covington,GREEN,FIREBALL,WA,1999,21:08:00
Issaquah,GREEN,FIREBALL,WA,1999,21:30:00
Seattle,RED,TRIANGLE,WA,1999,23:45:00
"Encinitas: along I-5, from encinitas to oceanside over ocean",ORANGE,CIRCLE,CA,1999,00:00:00
Natchez,ORANGE,TRIANGLE,MS,1999,22:30:00
Valhermoso Springs,RED,OTHER,AL,1999,21:40:00
Fayetteville,ORANGE,LIGHT,AR,1999,20:40:00
Lakewood,RED GREEN BLUE,OTHER,WA,1999,22:00:00
Las Cruces,GREEN,OVAL,NM,1999,03:20:00
Cardiff-by-the-Sea,ORANGE,FIREBALL,CA,1999,00:00:00
Glendale,ORANGE,TRIANGLE,WI,1999,01:45:00
Granite City,ORANGE,LIGHT,IL,1999,22:30:00
Pleasantville,RED,LIGHT,IA,1999,21:47:00
Oak Ridge,GREEN,OVAL,TN,1999,00:10:00
New York City,GREEN,LIGHT,NY,1999,20:15:00
Oakton,GREEN,FIREBALL,VA,1999,20:30:00
Pomona,ORANGE,SPHERE,CA,1999,22:20:00
Gaithersburg,GREEN,OVAL,MD,1999,23:45:00
Butte,RED,LIGHT,MT,1999,22:10:00
Decatur,RED,CIRCLE,IL,1999,13:20:00
New Mexico,RED,OTHER,NM,1999,19:00:00
Rialto,GREEN,DISK,CA,1999,20:10:00
Plant City,GREEN,OVAL,FL,1999,21:05:00
Kennewick,RED,CIRCLE,WA,1999,21:05:00
Berkley,ORANGE,FIREBALL,MA,1999,04:00:00
Piedmont,ORANGE,CIRCLE,MO,1999,20:00:00
Albuquerque,RED,FIREBALL,NM,1999,22:50:00
Columbus,ORANGE,CIRCLE,OH,1999,01:15:00
Walker,RED,LIGHT,MI,1999,04:04:00
Paia,RED,CYLINDER,HI,1999,23:30:00
Model,YELLOW,LIGHT,CO,1999,22:15:00
Loveland,ORANGE,CIRCLE,CO,1999,04:30:00
Santa Cruz,ORANGE,VARIOUS,CA,1999,20:29:00
Novato,BLUE,FIREBALL,CA,1999,01:30:00
Cairo,BLUE,DISK,WV,1999,09:30:00
Houston,RED,LIGHT,TX,1999,22:00:00
Cape Cod,ORANGE,LIGHT,MA,1999,23:00:00
Lebanon,YELLOW GREEN BLUE,CYLINDER,MO,1999,23:00:00
Margate,ORANGE,FIREBALL,FL,1999,19:52:00
Kaneohe,GREEN,SPHERE,HI,1999,22:00:00
San Jose,RED,LIGHT,CA,1999,22:30:00
Delhi,YELLOW,VARIOUS,CO,1999,20:00:00
Everett,RED,LIGHT,WA,1999,23:30:00
Monte Rio,ORANGE,LIGHT,CA,1999,22:00:00
Corcoran,GREEN,OTHER,CA,1999,09:30:00
Wichita,BLUE,LIGHT,KS,1999,20:10:00
Bloomington,ORANGE,LIGHT,IN,1999,00:00:00
Douglason,YELLOW,LIGHT,NY,1999,22:00:00
Hot Springs,BLUE,OTHER,AR,1999,00:15:00
Palm Desert,ORANGE,VARIOUS,CA,1999,02:45:00
York,RED,CYLINDER,PA,1999,10:00:00
Western Grove,BLUE,FIREBALL,AR,1999,17:30:00
Keithville,RED,LIGHT,LA,1999,22:00:00
Des Moines,YELLOW,LIGHT,IA,1999,01:00:00
Union City,RED BLUE,OTHER,TN,1999,22:00:00
Lansdowne,BLUE,FLASH,PA,1999,12:09:00
Lansdowne,ORANGE,LIGHT,PA,1999,22:54:00
Paso Robles,ORANGE,CIGAR,CA,1999,20:15:00
Longview,RED,FORMATION,WA,1999,22:15:00
Fremont,GREEN,LIGHT,MI,1999,00:00:00
Reston,RED,DISK,VA,1999,21:00:00
Lost Park area,RED,OTHER,CO,1999,22:00:00
Delavan,RED BLUE,CIRCLE,WI,1999,22:00:00
Spranger,GREEN,FIREBALL,CO,1999,04:15:00
Manchester,BLUE,RECTANGLE,NH,1999,10:45:00
Rochester,GREEN,OTHER,NY,1999,11:10:00
Las Vegas,RED,LIGHT,NV,1999,21:15:00
Kent,BLUE,LIGHT,WA,1999,23:45:00
La Verne,ORANGE,LIGHT,CA,1999,23:22:00
Kennewick,ORANGE,SPHERE,WA,1999,19:00:00
Fort Wayne,YELLOW,OVAL,IN,1999,15:00:00
Martinez,RED,SPHERE,CA,1999,16:00:00
Oldsmar,GREEN,FIREBALL,FL,1999,21:00:00
Phoenix,RED,TRIANGLE,AZ,1999,21:30:00
Miami,BLUE,CIGAR,FL,1999,05:45:00
Boise,RED,OTHER,ID,1999,01:20:00
Nicholasville,RED YELLOW,TRIANGLE,KY,1999,00:15:00
Hiko,BLUE,SPHERE,NV,1999,18:30:00
Quincy,RED,VARIOUS,IL,1999,21:00:00
Snake Creek,ORANGE,OVAL,NV,1999,21:00:00
Shingletown,RED BLUE,CIRCLE,CA,1999,00:00:00
Mississippi,ORANGE,LIGHT,MS,1999,23:00:00
Coso Junction,GREEN,LIGHT,CA,1999,22:00:00
Bedford,RED,LIGHT,MA,1999,18:00:00
Fremont,RED,CIRCLE,OH,1999,11:00:00
Pine Ridge,YELLOW,LIGHT,SD,1999,21:00:00
Lackawanna,RED,DIAMOND,NY,1999,21:30:00
Lackawanna,RED,OTHER,NY,1999,21:30:00
Little Rock,RED,LIGHT,AR,1999,21:50:00
Mount Pleasant,ORANGE,CIGAR,SC,1999,23:00:00
Annapolis,YELLOW,FIREBALL,MD,1999,00:30:00
Kaukauna,RED,TRIANGLE,WI,1999,22:50:00
Bald Eagle Lake,GREEN,FIREBALL,MN,1999,23:00:00
Pottstown,BLUE,SPHERE,PA,1999,21:45:00
Sheridan,RED BLUE,TRIANGLE,IN,1999,22:00:00
Healdsburg,ORANGE,LIGHT,CA,1999,22:30:00
Vancouver,ORANGE,CIRCLE,WA,1999,00:55:00
Seattle,RED BLUE,LIGHT,WA,1999,22:30:00
Newberg,RED,CIRCLE,OR,1999,22:45:00
Sayreville,ORANGE,OVAL,NJ,1999,18:30:00
Canterbury,RED ORANGE,CIRCLE,NH,1999,01:30:00
Monument Valley,GREEN,FLASH,UT,1999,22:23:00
Paddock Lake,ORANGE,DISK,WI,1999,04:15:00
San Jose,GREEN,FIREBALL,CA,1999,21:00:00
Charlotte,BLUE,VARIOUS,NC,1999,21:50:00
La Farge,ORANGE,FIREBALL,WI,1999,22:00:00
Southern Utah,GREEN,FIREBALL,UT,1999,23:30:00
Bouse,RED YELLOW,OTHER,AZ,1999,20:00:00
Bayfield,RED,SPHERE,WI,1999,23:50:00
Sewell,RED,TRIANGLE,NJ,1999,22:00:00
Hatton,ORANGE,SPHERE,WA,1999,22:30:00
Sandusky,GREEN,SPHERE,OH,1999,23:00:00
Jacksonville,RED,FLASH,FL,1999,02:00:00
Escondido,ORANGE,FIREBALL,CA,1999,04:10:00
East Springfield,ORANGE,CIRCLE,PA,1999,04:15:00
York,ORANGE,DISK,PA,1999,16:00:00
Robbins,ORANGE,CIRCLE,TX,1999,22:30:00
Kennewick,GREEN,FIREBALL,WA,1999,02:30:00
Clarkson,RED,LIGHT,KY,1999,00:00:00
Bay Point,RED,OTHER,CA,1999,20:00:00
Colorado Springs,ORANGE,LIGHT,CO,1999,22:00:00
Bricktown,ORANGE,RECTANGLE,NJ,1999,14:30:00
Shelbyville,RED BLUE,OVAL,TN,1999,22:30:00
Macwahoc,ORANGE GREEN,OTHER,ME,1999,01:30:00
Vancouver,BLUE,LIGHT,WA,1999,23:00:00
Ballard,GREEN,LIGHT,WA,1999,22:30:00
Salt Lake City,ORANGE,DISK,UT,1999,22:30:00
Boalsburg,RED,LIGHT,PA,1999,21:00:00
Camp Ripley,BLUE,FORMATION,MN,1999,02:50:00
Eureka,ORANGE,CIRCLE,CA,1999,22:30:00
Prescott Valley,ORANGE,LIGHT,AZ,1999,23:45:00
Long Valley,GREEN,DISK,NJ,1999,10:30:00
Gwinnett,ORANGE GREEN BLUE,LIGHT,GA,1999,02:00:00
Long Beach,ORANGE,DISK,CA,1999,03:25:00
Herminie,ORANGE,FORMATION,PA,1999,03:30:00
Flagstaff,ORANGE,LIGHT,AZ,1999,10:00:00
Mesa,GREEN,OTHER,DE,1999,20:46:00
Cheyenne,RED ORANGE,TRIANGLE,WY,1999,21:50:00
Monticello,GREEN,FIREBALL,IA,1999,22:15:00
Vancouver,GREEN,CIRCLE,WA,1999,23:00:00
Vancouver,GREEN,OVAL,WA,1999,23:00:00
Trout Lake,ORANGE,LIGHT,WA,1999,23:00:00
Lancaster,RED,FIREBALL,CA,1999,16:30:00
Gila Bend,ORANGE,FIREBALL,AZ,1999,20:30:00
Lake Powell,ORANGE,FIREBALL,UT,1999,22:30:00
East Northport,ORANGE,FIREBALL,NY,1999,22:55:00
Navarre Beach,RED,FIREBALL,FL,1999,22:40:00
Bentonville,ORANGE,FIREBALL,IN,1999,22:45:00
Moses Lake,BLUE,VARIOUS,WA,1999,03:15:00
Westfield,GREEN,CIRCLE,NJ,1999,21:00:00
Grand Rapids,RED,LIGHT,MI,1999,22:57:00
Tollison,BLUE,FIREBALL,AZ,1999,01:30:00
Renton,ORANGE,CIGAR,WA,1999,02:00:00
Oak Harbor,RED,LIGHT,WA,1999,01:00:00
Lahaina,RED GREEN,SPHERE,HI,1999,20:00:00
Portland,ORANGE,TRIANGLE,ME,1999,23:30:00
Merced,RED,VARIOUS,CA,1999,09:10:00
Versailles,ORANGE,SPHERE,IN,1999,22:30:00
Port Angeles,YELLOW BLUE,FIREBALL,WA,1999,00:15:00
Brier,BLUE,CHEVRON,WA,1999,22:30:00
San Diego,ORANGE,CIRCLE,CA,1999,02:00:00
Temple City,RED,LIGHT,CA,1999,20:35:00
Coral Gables,RED ORANGE,CIRCLE,FL,1999,21:30:00
Junction City,RED,TRIANGLE,OH,1999,00:00:00
Tinley Park,RED BLUE,TRIANGLE,IL,1999,01:00:00
Wadsworth,ORANGE,LIGHT,OH,1999,04:30:00
Medford,ORANGE,VARIOUS,OR,1999,21:00:00
Black Rock City,RED,FIREBALL,NV,1999,21:30:00
Eugene,RED,LIGHT,OR,1999,21:30:00
Lake Trinity,RED,FIREBALL,CA,1999,21:30:00
Donner Summit,RED,LIGHT,CA,1999,21:40:00
Santa Barbara,ORANGE,CIGAR,CA,1999,21:45:00
Santa Barbara,ORANGE,CIGAR,CA,1999,22:30:00
Chico,BLUE,OTHER,CA,1999,23:00:00
Lima,ORANGE,LIGHT,OH,1999,23:30:00
Vancouver,RED,SPHERE,WA,1999,13:00:00
Salinas,GREEN,LIGHT,CA,1999,00:30:00
Indianapolis,BLUE,CYLINDER,IN,1999,08:40:00
Grand Rapids,BLUE,LIGHT,MI,1999,21:00:00
Richmond,ORANGE,TRIANGLE,IN,1999,21:24:00
Sevierville,RED GREEN BLUE,CIRCLE,TN,1999,00:40:00
Hudson River,RED,CIRCLE,NY,1999,04:20:00
Placervile,GREEN,SPHERE,CA,1999,04:45:00
Green Ridge St Forest,RED GREEN,LIGHT,MD,1999,22:30:00
Hanford,GREEN,FIREBALL,CA,1999,22:30:00
West Liberty,ORANGE GREEN,LIGHT,KY,1999,22:30:00
Carrollton,YELLOW,FLASH,TX,1999,02:00:00
Austin,RED,DIAMOND,TX,1999,01:00:00
Salem,GREEN,OTHER,OR,1999,01:00:00
Witchita Falls,ORANGE,FIREBALL,TX,1999,02:00:00
Madison,RED,LIGHT,WI,1999,03:35:00
Slidell,ORANGE GREEN BLUE,DISK,LA,1999,05:00:00
South Miami,BLUE,FIREBALL,FL,1999,05:03:00
Gulfport,RED,SPHERE,MS,1999,05:40:00
Rhinelander,RED GREEN,TEARDROP,WI,1999,21:18:00
Desert Aire,YELLOW,OTHER,WA,1999,19:00:00
Shasta,GREEN,FIREBALL,CA,1999,12:35:00
Bothell,GREEN,OTHER,WA,1999,22:00:00
Spokane,YELLOW GREEN,FIREBALL,WA,1999,20:00:00
Spokane,GREEN,LIGHT,WA,1999,20:24:00
Boise,BLUE,TEARDROP,ID,1999,21:30:00
Acton,GREEN,FIREBALL,CA,1999,22:16:00
Philadelphia,RED ORANGE YELLOW,CIRCLE,PA,1999,05:15:00
Navarre Beach,ORANGE YELLOW,LIGHT,FL,1999,22:00:00
Bellingham,ORANGE,OVAL,WA,1999,20:30:00
Laurel,ORANGE,CIRCLE,MD,1999,06:00:00
Federal Way,ORANGE,CYLINDER,WA,1999,16:30:00
Mukilteo,GREEN,CIRCLE,WA,1999,22:29:00
Rushville,ORANGE,LIGHT,IL,1999,21:05:00
Canby,RED,CIRCLE,OR,1999,21:05:00
Dandridge,RED,TRIANGLE,TN,1999,22:30:00
Kill Devil Hills,ORANGE,FORMATION,NC,1999,01:38:00
Mission Viejo,RED,LIGHT,CA,1999,04:00:00
San Diego,RED,CIRCLE,CA,1999,18:00:00
Whitefish,RED,CIRCLE,MT,1999,22:00:00
Franklin,RED BLUE,CIRCLE,NC,1999,02:00:00
Goldendale,GREEN,CIRCLE,WA,1999,19:30:00
Ewen,BLUE,FIREBALL,MI,1999,20:00:00
Upper Sandusky,ORANGE,FIREBALL,OH,1999,21:45:00
Midwest City,RED GREEN,RECTANGLE,OK,1999,21:10:00
Mount Vernon,RED,DISK,WA,1999,20:24:00
Pearl Ridge,BLUE,SPHERE,HI,1999,21:00:00
Oak Brook,GREEN,LIGHT,IL,1999,01:00:00
Elyria,BLUE,TRIANGLE,OH,1999,04:40:00
Alhambra,GREEN,LIGHT,CA,1999,01:45:00
Battle Ground,BLUE,CIRCLE,WA,1999,21:40:00
Clackamas,GREEN,FIREBALL,OR,1999,21:40:00
Tacoma,GREEN,CIRCLE,WA,1999,21:41:00
Wilsonville,GREEN,FIREBALL,OR,1999,21:55:00
Tacoma,GREEN,FIREBALL,WA,1999,22:40:00
Angleton,RED,CROSS,TX,1999,20:35:00
Conestoga,RED ORANGE,LIGHT,PA,1999,23:10:00
Goose Creek,BLUE,DISK,SC,1999,06:45:00
Lakeside,RED,DIAMOND,CA,1999,21:30:00
Leesburg,RED,OTHER,FL,1999,21:30:00
Martinez,RED GREEN,VARIOUS,CA,1999,00:01:00
Elgin,ORANGE,CHEVRON,OR,1999,22:30:00
Portville,YELLOW,OVAL,NY,1999,20:15:00
Portville,YELLOW BLUE,OVAL,NY,1999,20:15:00
Addison,RED,DISK,IL,1999,22:30:00
Breezewood,YELLOW,FIREBALL,PA,1999,12:07:00
Phoenix,ORANGE,FIREBALL,AZ,1999,22:00:00
Boscobel,RED,LIGHT,WI,1999,19:45:00
Mead,BLUE,LIGHT,WA,1999,20:20:00
Weed,GREEN,FIREBALL,CA,1999,00:00:00
Clines Corners,BLUE,LIGHT,NM,1999,03:00:00
Lewistown,GREEN,LIGHT,MO,1999,06:01:00
Phoenix,ORANGE,SPHERE,AZ,1999,21:00:00
Buffalo,ORANGE,TRIANGLE,NY,1999,23:00:00
Copeville,GREEN,TRIANGLE,TX,1999,23:00:00
Conway,BLUE,SPHERE,AR,1999,00:05:00
Danville,RED,LIGHT,KY,1999,22:00:00
Chatsworth,ORANGE,SPHERE,GA,1999,22:30:00
Signal Mountain,ORANGE,CIGAR,TN,1999,03:30:00
Bellevue,RED GREEN,LIGHT,WA,1999,04:33:00
Santa Clarita Valley,RED,DISK,CA,1999,18:30:00
Conway,BLUE,TRIANGLE,AR,1999,23:35:00
Shoreline,ORANGE YELLOW,FIREBALL,WA,1999,22:25:00
Amity,ORANGE,CIRCLE,OR,1999,22:30:00
Lakeville,GREEN,LIGHT,MN,1999,03:45:00
Tehachapi,BLUE,CHEVRON,CA,1999,13:00:00
Sikeston,GREEN,LIGHT,MO,1999,22:45:00
Bullhead City,RED,LIGHT,AZ,1999,23:05:00
Carthage,RED,TRIANGLE,TX,1999,04:30:00
Cookstown,RED GREEN,CYLINDER,NJ,1999,06:00:00
Moravia,RED,FLASH,NY,1999,19:10:00
Westmont,ORANGE,OVAL,IL,1999,22:05:00
Laurel,RED GREEN,OVAL,MS,1999,23:13:00
Canfield,RED BLUE,LIGHT,OH,1999,01:40:00
Woodbridge,RED ORANGE,OVAL,VA,1999,18:55:00
Smithville,RED,CIRCLE,TX,1999,22:30:00
Houston,RED BLUE,CYLINDER,TX,1999,00:30:00
San Diego,ORANGE,FIREBALL,CA,1999,09:30:00
Imperial Beach,RED,FIREBALL,CA,1999,19:30:00
Ashland,YELLOW,OTHER,OR,1999,20:00:00
Auburn,GREEN,RECTANGLE,GA,1999,20:00:00
Auburn,GREEN,CIRCLE,GA,1999,20:30:00
Turner,RED,CIRCLE,OR,1999,23:48:00
Scappoose,RED,OVAL,OR,1999,03:00:00
South Bend,GREEN,TRIANGLE,IN,1999,06:22:00
Walker County,RED,CIRCLE,TX,1999,15:00:00
Kent,RED,DISK,WA,1999,01:00:00
South Pasadena,ORANGE,CIRCLE,CA,1999,20:25:00
Jackson,RED,LIGHT,TN,1999,03:30:00
Leighton,ORANGE,TRIANGLE,AL,1999,21:00:00
Carbondale,RED,DISK,KS,1999,19:30:00
Springfield,RED,FIREBALL,MO,1999,21:35:00
Wyoming,RED BLUE,LIGHT,MI,1999,00:23:00
Canon City,RED,LIGHT,CO,1999,02:15:00
Matawan,ORANGE,TRIANGLE,NJ,1999,18:03:00
Iowa City,BLUE,EGG,IA,1999,10:00:00
Atlanta,GREEN,TEARDROP,GA,1999,02:40:00
The Colony,GREEN,FLASH,TX,1999,18:35:00
Burgaw,ORANGE BLUE,LIGHT,NC,1999,20:00:00
Dahlonega,RED GREEN,FIREBALL,GA,1999,20:25:00
El Dorado,RED,LIGHT,KS,1999,22:49:00
Meridian Navel Air Station,RED,FORMATION,MS,1999,02:00:00
Fallbrook,ORANGE,SPHERE,CA,1999,16:50:00
Bensalem,RED,LIGHT,PA,1999,20:20:00
Midlothian,RED,DISK,IL,1999,17:30:00
Sprague,BLUE,OTHER,WA,1999,00:45:00
Bolivar,RED,LIGHT,TN,1999,02:06:00
Haltom City,BLUE,VARIOUS,TX,1999,21:30:00
Port St. Lucie,ORANGE YELLOW,OVAL,FL,1999,22:05:00
Cedar Rapids,ORANGE GREEN,FIREBALL,IA,1999,18:00:00
Dallas,GREEN,FLASH,TX,1999,05:00:00
Albany,ORANGE,FIREBALL,NY,1999,16:00:00
Medina,BLUE,FIREBALL,OH,1999,17:20:00
Mequon,BLUE,FIREBALL,WI,1999,18:00:00
Mexico,GREEN,TEARDROP,MO,1999,18:00:00
Neenah,GREEN,DISK,WI,1999,18:00:00
Rural,RED GREEN,OVAL,MO,1999,18:00:00
Norwalk,BLUE,FIREBALL,IA,1999,18:04:00
Apple Valley,RED,CIRCLE,MN,1999,18:05:00
Appleton,YELLOW,FIREBALL,WI,1999,18:05:00
Barrington,GREEN BLUE,FORMATION,IL,1999,18:05:00
Chicago,GREEN,FIREBALL,IL,1999,18:05:00
Downers Grove,RED ORANGE GREEN,CHEVRON,IL,1999,18:05:00
Durant,ORANGE GREEN BLUE,FIREBALL,IA,1999,18:05:00
Jamestown,GREEN,LIGHT,TN,1999,18:05:00
Milwaukee,GREEN,FIREBALL,WI,1999,18:05:00
Mundelein,GREEN,FIREBALL,IL,1999,18:05:00
Onalaska,YELLOW,TEARDROP,WI,1999,18:05:00
Racine,GREEN,FIREBALL,WI,1999,18:05:00
Shawano,ORANGE YELLOW,CIGAR,WI,1999,18:05:00
St. Peters,ORANGE,FIREBALL,MO,1999,18:05:00
St.Charles,ORANGE YELLOW GREEN,CIRCLE,IL,1999,18:07:00
Oakbrook,GREEN,FIREBALL,IL,1999,18:20:00
Grand Rapids,RED,LIGHT,MI,1999,18:25:00
State College,RED ORANGE,FIREBALL,PA,1999,18:30:00
Cincinnati,RED YELLOW GREEN,FIREBALL,OH,1999,19:00:00
Hadley,RED,FIREBALL,MI,1999,19:00:00
Middletown,GREEN,TRIANGLE,OH,1999,19:00:00
Jackson,GREEN,SPHERE,OH,1999,19:02:00
Westerville,ORANGE GREEN BLUE,FIREBALL,OH,1999,19:02:00
Lebanon,ORANGE,FIREBALL,OH,1999,19:04:00
Louisville,GREEN BLUE,VARIOUS,KY,1999,19:04:00
West Chester,GREEN,FIREBALL,OH,1999,19:04:00
Baldwin,GREEN,FIREBALL,MI,1999,19:05:00
Fort Wayne,GREEN,FIREBALL,IN,1999,19:05:00
Greenville,RED GREEN,CIGAR,IN,1999,19:05:00
Indianapolis,GREEN,LIGHT,IN,1999,19:05:00
Parma,GREEN,CIRCLE,OH,1999,19:06:00
Sterling Heights,ORANGE YELLOW,FIREBALL,MI,1999,19:06:00
Mt. Weather,BLUE,FIREBALL,VA,1999,19:07:00
Vicksburg,ORANGE,FIREBALL,MI,1999,19:08:00
Shelby Township,RED ORANGE,CIGAR,MI,1999,19:10:00
Chicago,RED,FIREBALL,IL,1999,19:15:00
Cincinnati,GREEN,FIREBALL,OH,1999,19:15:00
Urbana,RED YELLOW,FORMATION,OH,1999,19:15:00
Fort Wayne,GREEN,FIREBALL,IN,1999,20:30:00
North Las Vegas,GREEN,OTHER,NV,1999,22:30:00
Columbia,ORANGE,CHEVRON,MO,1999,23:15:00
Oklahoma City,GREEN BLUE,EGG,OK,1999,23:30:00
Ringgold,RED ORANGE,CIRCLE,GA,1999,00:30:00
San Rafael,ORANGE,TRIANGLE,CA,1999,02:00:00
Ashgrove,ORANGE,LIGHT,MO,1999,22:15:00
Houston,BLUE,FORMATION,TX,1999,05:00:00
St. Petersburg,RED,LIGHT,FL,1999,20:00:00
Midlothian,BLUE,FIREBALL,VA,1999,05:30:00
Barbourville,GREEN BLUE,VARIOUS,KY,1999,16:45:00
Kent,RED,LIGHT,WA,1999,18:00:00
Belton,RED,OVAL,MO,1999,18:10:00
Brookfield,RED,LIGHT,MO,1999,18:00:00
Rocky Mount,YELLOW,CIGAR,NC,1999,21:00:00
Monrovia,RED,OTHER,CA,1999,02:00:00
Redondo Beach,BLUE,FORMATION,CA,1999,17:50:00
Flagstaff,ORANGE,LIGHT,AZ,1999,21:30:00
Seward,ORANGE,CIRCLE,AK,1999,11:00:00
Colleyville,RED GREEN,LIGHT,TX,1999,19:15:00
North Miami,RED GREEN,OTHER,FL,1999,00:20:00
Greensburg,YELLOW GREEN,FIREBALL,IN,1999,20:30:00
San Diego,GREEN,SPHERE,CA,1999,20:30:00
New Holland,RED GREEN,DISK,OH,1999,00:30:00
Jackson,GREEN,FIREBALL,MI,1999,01:45:00
Ceder Lake,RED,LIGHT,IN,1999,06:00:00
Coolidge,RED,TRIANGLE,AZ,1999,00:05:00
Manchester,BLUE,LIGHT,TN,1999,04:00:00
